cycles,correlation,hits,total
[1],1,364,364
[3],1,364,364
[5],1,364,364
[7],1,364,364
[9],1,364,364
[10],1,364,364
[19],1,364,364
[20],1,364,364
[30],1,364,364
[45],1,364,364
[10,20],0.9752747252747253,355,364
[5,10],0.9478021978021978,345,364
[1,7],0.9395604395604396,342,364
[9,45],0.9395604395604396,342,364
[1,45],0.9313186813186813,339,364
[5,20],0.9313186813186813,339,364
[7,45],0.9313186813186813,339,364
[5,45],0.9285714285714286,338,364
[1,3],0.9175824175824175,334,364
[3,45],0.9120879120879121,332,364
[30,45],0.9093406593406593,331,364
[1,5],0.9010989010989011,328,364
[19,45],0.8983516483516484,327,364
[5,19,20],0.6703296703296703,244,364
[1,3,5,7],0.6703296703296703,244,364
[1,5,10,30],0.6703296703296703,244,364
[3,5,10,20],0.6703296703296703,244,364
[1,10,19],0.6675824175824175,243,364
[1,19,20],0.6675824175824175,243,364
[3,10,30],0.6675824175824175,243,364
[1,5,30,45],0.6675824175824175,243,364
[5,9,10,20],0.6675824175824175,243,364
[19,30,45],0.6648351648351648,242,364
[1,19,30],0.6620879120879121,241,364
[3,10,45],0.6620879120879121,241,364
[9,20,30],0.6620879120879121,241,364
[1,3,5,10],0.6620879120879121,241,364
[1,5,7,20],0.6620879120879121,241,364
[1,5,7,30],0.6620879120879121,241,364
[3,7,30,45],0.6620879120879121,241,364
[1,3,30,45],0.6593406593406593,240,364
[1,5,9,45],0.6593406593406593,240,364
[3,7,9,45],0.6593406593406593,240,364
[1,9,10],0.6565934065934066,239,364
[1,3,7,9],0.6565934065934066,239,364
[1,9,20],0.6538461538461539,238,364
[10,19,45],0.6538461538461539,238,364
[1,10,20,30],0.6538461538461539,238,364
[3,7,20],0.6510989010989011,237,364
[9,10,30],0.6483516483516484,236,364
[1,3,10,20],0.6483516483516484,236,364
[1,5,20,30],0.6483516483516484,236,364
[1,3,5,20],0.6456043956043956,235,364
[3,5,7,45],0.6428571428571429,234,364
[1,5,10,20,45],0.6428571428571429,234,364
[3,7,19],0.6401098901098901,233,364
[3,9,19],0.6401098901098901,233,364
[1,3,5,30],0.6401098901098901,233,364
[1,7,10,45],0.6401098901098901,233,364
[5,7,10,45],0.6401098901098901,233,364
[5,10,19,20],0.6401098901098901,233,364
[5,10,20,30,45],0.6401098901098901,233,364
[7,10,20,45],0.6373626373626373,232,364
[3,7,10],0.6346153846153846,231,364
[7,9,19],0.6346153846153846,231,364
[10,19,30],0.6346153846153846,231,364
[19,20,30],0.6346153846153846,231,364
[1,7,20,45],0.6346153846153846,231,364
[1,9,30,45],0.6346153846153846,231,364
[3,5,30,45],0.6346153846153846,231,364
[5,7,20,45],0.6346153846153846,231,364
[3,5,10,45],0.6318681318681318,230,364
[5,9,10,45],0.6318681318681318,230,364
[5,9,30,45],0.6318681318681318,230,364
[5,9,19],0.6291208791208791,229,364
[3,9,20],0.6263736263736264,228,364
[3,5,9,45],0.6263736263736264,228,364
[3,9,30,45],0.6263736263736264,228,364
[5,7,30,45],0.6263736263736264,228,364
[9,10,20,45],0.6263736263736264,228,364
[5,7,19],0.6236263736263736,227,364
[7,9,20],0.6236263736263736,227,364
[1,7,19,45],0.6236263736263736,227,364
[5,7,9,45],0.6236263736263736,227,364
[5,9,20,45],0.6236263736263736,227,364
[3,19,30],0.6208791208791209,226,364
[1,5,7,9],0.6208791208791209,226,364
[3,5,20,45],0.6208791208791209,226,364
[7,9,30,45],0.6208791208791209,226,364
[7,19,30],0.6181318681318682,225,364
[9,19,30],0.6181318681318682,225,364
[1,3,5,9],0.6181318681318682,225,364
[5,7,10,30],0.6181318681318682,225,364
[7,10,20,30],0.6181318681318682,225,364
[1,5,7,10,20],0.6181318681318682,225,364
[1,5,10,20,30],0.6181318681318682,225,364
[5,19,30],0.6153846153846154,224,364
[9,19,20],0.6153846153846154,224,364
[1,5,9,10],0.6153846153846154,224,364
[1,7,10,30],0.6153846153846154,224,364
[3,9,10],0.6126373626373627,223,364
[7,19,20],0.6126373626373627,223,364
[1,7,9,30],0.6126373626373627,223,364
[3,5,10,30],0.6126373626373627,223,364
[1,3,9,30],0.6098901098901099,222,364
[1,3,10,45],0.6098901098901099,222,364
[1,3,5,10,20],0.6098901098901099,222,364
[3,5,19],0.6071428571428571,221,364
[1,3,20,45],0.6071428571428571,221,364
[1,7,20,30],0.6071428571428571,221,364
[1,10,30,45],0.6071428571428571,221,364
[1,20,30,45],0.6071428571428571,221,364
[3,10,20,45],0.6071428571428571,221,364
[5,7,20,30],0.6071428571428571,221,364
[1,10,19,20],0.6043956043956044,220,364
[3,5,7,30],0.6043956043956044,220,364
[3,10,20,30],0.6043956043956044,220,364
[1,3,7,10],0.6016483516483516,219,364
[1,5,9,20],0.6016483516483516,219,364
[3,5,20,30],0.6016483516483516,219,364
[5,9,10,30],0.6016483516483516,219,364
[10,19,20,45],0.5989010989010989,218,364
[1,3,10,30],0.5961538461538461,217,364
[1,9,10,20],0.5961538461538461,217,364
[3,7,9,30],0.5961538461538461,217,364
[1,3,5,7,45],0.5961538461538461,217,364
[1,3,7,9,45],0.5961538461538461,217,364
[1,3,7,20],0.5934065934065934,216,364
[1,5,10,19],0.5934065934065934,216,364
[1,5,19,45],0.5934065934065934,216,364
[7,9,10],0.5906593406593407,215,364
[3,5,7,10],0.5906593406593407,215,364
[9,10,20,30],0.5906593406593407,215,364
[9,20,30,45],0.5906593406593407,215,364
[1,3,7,30,45],0.5906593406593407,215,364
[3,19,20],0.5879120879120879,214,364
[1,3,19,45],0.5879120879120879,214,364
[1,5,9,30],0.5879120879120879,214,364
[1,9,19,45],0.5879120879120879,214,364
[5,9,20,30],0.5879120879120879,214,364
[7,20,30,45],0.5879120879120879,214,364
[1,3,7,19],0.5851648351648352,213,364
[1,3,20,30],0.5851648351648352,213,364
[1,9,20,45],0.5851648351648352,213,364
[7,10,30,45],0.5851648351648352,213,364
[10,19,20,30],0.5851648351648352,213,364
[5,7,10,20,45],0.5851648351648352,213,364
[1,5,7,19],0.5824175824175825,212,364
[3,20,30,45],0.5824175824175825,212,364
[1,5,7,10,45],0.5824175824175825,212,364
[7,10,19],0.5796703296703297,211,364
[9,10,19],0.5796703296703297,211,364
[1,9,10,45],0.5796703296703297,211,364
[3,5,7,9],0.5796703296703297,211,364
[1,5,19,20],0.5769230769230769,210,364
[3,5,7,20],0.5769230769230769,210,364
[3,7,20,45],0.5769230769230769,210,364
[1,3,5,10,45],0.5769230769230769,210,364
[1,5,10,30,45],0.5769230769230769,210,364
[5,9,10,20,45],0.5769230769230769,210,364
[1,7,10,20,45],0.5741758241758241,209,364
[3,5,10,20,45],0.5741758241758241,209,364
[3,10,19],0.5714285714285714,208,364
[1,7,19,30],0.5714285714285714,208,364
[3,7,10,20],0.5714285714285714,208,364
