cycles,correlation
[1],0.4760935910478128
[3],0.5015259409969481
[5],0.4811800610376399
[7],0.4923702950152594
[9],0.49440488301119023
[10],0.46897253306205494
[19],0.5045778229908443
[20],0.49745676500508645
[30],0.3641912512716175
[45],0.4821973550356053
[1,3],0.48353293413173654
[1,5],0.46579804560260585
[1,7],0.47429519071310117
[1,9],0.4750430292598967
[1,10],0.4532871972318339
[1,19],0.48300536672629696
[1,20],0.4759259259259259
[1,30],0.3481624758220503
[1,45],0.4618249534450652
[3,5],0.484573502722323
[3,7],0.49477351916376305
[3,9],0.49701492537313435
[3,10],0.47162426614481406
[3,19],0.5060240963855421
[3,20],0.49899396378269617
[3,30],0.37822878228782286
[3,45],0.48586572438162545
[5,7],0.4762773722627737
[5,9],0.4784172661870504
[5,10],0.4682230869001297
[5,19],0.48497854077253216
[5,20],0.48335974643423135
[5,30],0.36428571428571427
[5,45],0.4704918032786885
[7,9],0.4868686868686869
[7,10],0.459915611814346
[7,19],0.49710982658959535
[7,20],0.49
[7,30],0.3587174348697395
[7,45],0.4758220502901354
[9,10],0.46484375
[9,19],0.49896907216494846
[9,20],0.492
[9,30],0.35610766045548653
[9,45],0.4821705426356589
[10,19],0.4721030042918455
[10,20],0.4772413793103448
[10,30],0.3651315789473684
[10,45],0.45294117647058824
[19,20],0.5021008403361344
[19,30],0.35824175824175825
[19,45],0.4868686868686869
[20,30],0.375
[20,45],0.48023715415019763
[30,45],0.33763440860215055
[7,19,45],0.48905109489051096
[7,20,30],0.35714285714285715
[7,20,45],0.46296296296296297
[7,30,45],0.3253012048192771
[9,10,19],0.4708333333333333
[9,10,20],0.4907161803713528
[9,10,30],0.35161290322580646
[9,10,45],0.4473684210526316
[9,19,20],0.5188284518828452
[9,19,30],0.3409090909090909
[9,19,45],0.48909657320872274
[9,20,30],0.3713235294117647
[9,20,45],0.47305389221556887
[9,30,45],0.32459016393442625
[10,19,20],0.49415204678362573
[10,19,30],0.3626373626373626
[10,19,45],0.45491803278688525
[10,20,30],0.3691275167785235
[10,20,45],0.46437994722955145
[10,30,45],0.31333333333333335
[19,20,30],0.3780487804878049
[19,20,45],0.4817813765182186
[19,30,45],0.33796296296296297
[20,30,45],0.3308270676691729
[1,3,5,7],0.4878048780487805
[1,3,5,9],0.46885245901639344
[1,3,5,10],0.46607669616519176
[1,3,5,19],0.48878923766816146
[1,3,5,20],0.5017667844522968
[1,3,5,30],0.36470588235294116
[1,3,5,45],0.4647887323943662
[1,3,7,9],0.47079037800687284
[1,3,7,10],0.4495798319327731
[1,3,7,19],0.4713114754098361
[1,3,7,20],0.49145299145299143
[1,3,7,30],0.35714285714285715
[1,3,7,45],0.4765625
[1,3,9,10],0.46715328467153283
[1,3,9,19],0.47307692307692306
[1,3,9,20],0.4900398406374502
[1,3,9,30],0.34
[1,3,9,45],0.4666666666666667
[1,3,10,19],0.44776119402985076
[1,3,10,20],0.4930555555555556
[1,3,10,30],0.3493975903614458
[1,3,10,45],0.4219409282700422
[1,3,19,20],0.5
[1,3,19,30],0.36363636363636365
[1,3,19,45],0.47706422018348627
[1,3,20,30],0.3813953488372093
[1,3,20,45],0.4541284403669725
[1,3,30,45],0.3145539906103286
[1,5,7,9],0.44537815126050423
[1,5,7,10],0.4527027027027027
[1,5,7,19],0.47393364928909953
[1,5,7,20],0.48412698412698413
[1,5,7,30],0.35874439461883406
[1,5,7,45],0.46215139442231074
[1,5,9,10],0.4542483660130719
[1,5,9,19],0.45918367346938777
[1,5,9,20],0.48046875
[1,5,9,30],0.3238095238095238
[1,5,9,45],0.4421052631578947
[1,5,10,19],0.4624505928853755
[1,5,10,20],0.4807692307692308
[1,5,10,30],0.34105960264900664
[1,5,10,45],0.42905405405405406
[1,5,19,20],0.5263157894736842
[1,5,19,30],0.375
[1,5,19,45],0.46859903381642515
[1,5,20,30],0.3628691983122363
[1,5,20,45],0.456
[1,5,30,45],0.3106796116504854
[1,7,9,10],0.4416243654822335
[1,7,9,19],0.4666666666666667
[1,7,9,20],0.47368421052631576
[1,7,9,30],0.3407821229050279
[1,7,9,45],0.46443514644351463
[1,7,10,19],0.44324324324324327
[1,7,10,20],0.48046875
[1,7,10,30],0.33816425120772947
[1,7,10,45],0.4052631578947368
[1,7,19,20],0.48936170212765956
[1,7,19,30],0.3583815028901734
[1,7,19,45],0.48704663212435234
[1,7,20,30],0.3675675675675676
[1,7,20,45],0.45263157894736844
[1,7,30,45],0.3235294117647059
[1,9,10,19],0.4540229885057471
[1,9,10,20],0.49606299212598426
[1,9,10,30],0.3333333333333333
[1,9,10,45],0.4297872340425532
[1,9,19,20],0.5149700598802395
[1,9,19,30],0.33125
[1,9,19,45],0.47393364928909953
[1,9,20,30],0.3563218390804598
[1,9,20,45],0.4418604651162791
[1,9,30,45],0.2916666666666667
[1,10,19,20],0.5021645021645021
[1,10,19,30],0.34806629834254144
[1,10,19,45],0.4311377245508982
[1,10,20,30],0.37453183520599254
[1,10,20,45],0.43983402489626555
[1,10,30,45],0.2804232804232804
[1,19,20,30],0.4036144578313253
[1,19,20,45],0.4713375796178344
[1,19,30,45],0.3422818791946309
[1,20,30,45],0.296969696969697
[3,5,7,9],0.4808510638297872
[3,5,7,10],0.47307692307692306
[3,5,7,19],0.49710982658959535
[3,5,7,20],0.502283105022831
[3,5,7,30],0.3875598086124402
[3,5,7,45],0.4956896551724138
[3,5,9,10],0.4768211920529801
[3,5,9,19],0.4789473684210526
[3,5,9,20],0.5020576131687243
[3,5,9,30],0.3624454148471616
[3,5,9,45],0.4768211920529801
[3,5,10,19],0.47317073170731705
[3,5,10,20],0.4919614147909968
[3,5,10,30],0.3548387096774194
[3,5,10,45],0.4489051094890511
[3,5,19,20],0.5212121212121212
[3,5,19,30],0.389937106918239
[3,5,19,45],0.48295454545454547
[3,5,20,30],0.37727272727272726
[3,5,20,45],0.49333333333333335
[3,5,30,45],0.3397129186602871
[3,7,9,10],0.4607329842931937
[3,7,9,19],0.4845360824742268
[3,7,9,20],0.49
[3,7,9,30],0.37244897959183676
[3,7,9,45],0.4942528735632184
[3,7,10,19],0.4557823129251701
[3,7,10,20],0.48847926267281105
[3,7,10,30],0.35602094240837695
[3,7,10,45],0.42777777777777776
[3,7,19,20],0.47651006711409394
[3,7,19,30],0.3875
[3,7,19,45],0.5086705202312138
[3,7,20,30],0.3850574712643678
[3,7,20,45],0.49444444444444446
[3,7,30,45],0.3575418994413408
[3,9,10,19],0.4619883040935672
[3,9,10,20],0.50390625
[3,9,10,30],0.3584070796460177
[3,9,10,45],0.45081967213114754
[3,9,19,20],0.49707602339181284
[3,9,19,30],0.3473053892215569
[3,9,19,45],0.48695652173913045
[3,9,20,30],0.38071065989847713
[3,9,20,45],0.4829059829059829
[3,9,30,45],0.3318777292576419
[3,10,19,20],0.49162011173184356
[3,10,19,30],0.358974358974359
[3,10,19,45],0.43356643356643354
[3,10,20,30],0.38114754098360654
[3,10,20,45],0.46543778801843316
[3,10,30,45],0.30256410256410254
[3,19,20,30],0.3916083916083916
[3,19,20,45],0.4794520547945205
[3,19,30,45],0.34532374100719426
[3,20,30,45],0.3411764705882353
[5,7,9,10],0.43612334801762115
[5,7,9,19],0.4503311258278146
[5,7,9,20],0.45454545454545453
[5,7,9,30],0.3465909090909091
[5,7,9,45],0.4444444444444444
[5,7,10,19],0.45454545454545453
[5,7,10,20],0.46078431372549017
[5,7,10,30],0.33203125
[5,7,10,45],0.4139344262295082
[5,7,19,20],0.47752808988764045
[5,7,19,30],0.36423841059602646
[5,7,19,45],0.45977011494252873
[5,7,20,30],0.33004926108374383
